,nan,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
0,timezone,3600,3600,3600,3600,3600,3600,3600,3600,3600
1,pressure_hpa,1009,1008,1009,1009,1009,1009,1009,1009,1009
2,clouds,100,100,100,100,100,100,100,100,100
3,wind_deg,200,39,290,290,290,290,290,290,290
4,,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
5,lng,11.0715,11.0715,11.0715,11.0715,11.0715,11.0715,11.0715,11.0715,11.0715
6,temp,7.460000000000036,7.689999999999998,6.28000000000003,6.28000000000003,6.28000000000003,6.28000000000003,6.28000000000003,6.28000000000003,6.28000000000003
7,humidity_%,84,82,94,94,94,94,94,94,94
8,wind_speed,2.1,2.78,0.84,0.84,0.84,0.84,0.84,0.84,0.84
9,timestamp,2021-12-27 13:30:18.868720,2021-12-27 15:00:31.507684,2021-12-28 06:02:48.877354,2021-12-28 06:03:49.002487,2021-12-28 06:04:49.141119,2021-12-28 06:05:49.268256,2021-12-28 06:06:49.395394,2021-12-28 06:07:49.507004,2021-12-28 06:08:49.628138
10,lat,44.8004,44.8004,44.8004,44.8004,44.8004,44.8004,44.8004,44.8004,44.8004
11,timezone,3600,3600,3600,3600,3600,3600,3600,3600,3600
12,pressure_hpa,1009,1008,1009,1009,1009,1009,1009,1009,1009
13,clouds,90,100,100,100,100,100,100,100,100
14,wind_deg,0,77,306,306,306,306,306,306,306
15,,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
16,lng,11.2843,11.2843,11.2843,11.2843,11.2843,11.2843,11.2843,11.2843,11.2843
17,temp,7.970000000000027,7.990000000000009,6.32000000000005,6.32000000000005,6.32000000000005,6.32000000000005,6.32000000000005,6.32000000000005,6.32000000000005
18,humidity_%,94,94,99,99,99,99,99,99,99
19,wind_speed,0.51,1.03,1.54,1.54,1.54,1.54,1.54,1.54,1.54
20,timestamp,2021-12-27 13:31:30.539817,2021-12-27 15:01:43.244333,2021-12-28 06:03:56.326136,2021-12-28 06:04:56.465271,2021-12-28 06:05:56.589909,2021-12-28 06:06:56.714044,2021-12-28 06:07:56.833675,2021-12-28 06:08:56.982318,2021-12-28 06:09:57.124970
